2021 MLB Opening Day Payrolls,,,,,,,
,,,,,,,
RK,Team,Roster,Active,DL,Retained,Buried,Total
1,Los Angeles Dodgers,20,"$207,804,334 ","$10,390,500 ","$564,000 ","$8,500,000 ","$235,412,876 "
2,New York Yankees,23,"$150,341,675 ","$30,800,000 ","$6,774,956 ",-,"$191,205,631 "
3,Boston Red Sox,22,"$111,818,044 ","$29,550,000 ","$30,800,000 ",-,"$180,261,996 "
4,Los Angeles Angels,22,"$171,871,000 ","$1,700,500 ",-,-,"$177,353,000 "
5,Philadelphia Phillies,22,"$158,931,500 ","$727,500 ","$10,350,000 ","$4,250,000 ","$174,009,000 "
6,San Diego Padres,19,"$155,211,800 ","$14,974,800 ",-,-,"$171,686,600 "
7,Houston Astros,17,"$123,549,067 ","$39,219,500 ","$250,000 ","$9,000,000 ","$171,018,567 "
8,New York Mets,22,"$130,292,276 ","$25,625,000 ","$5,254,500 ",-,"$167,415,024 "
9,Washington Nationals,22,"$130,382,528 ","$8,000,000 ",-,-,"$161,907,528 "
10,Chicago Cubs,22,"$139,172,500 ","$2,843,000 ","$3,000,000 ",-,"$149,665,500 "
11,Toronto Blue Jays,12,"$83,458,333 ","$45,500,000 ","$7,175,000 ",-,"$137,133,333 "
12,St. Louis Cardinals,14,"$97,951,500 ","$22,345,700 ","$14,750,000 ",-,"$135,047,200 "
13,Atlanta Braves,22,"$127,467,000 ","$2,800,000 ","$241,935 ",-,"$134,459,435 "
14,San Francisco Giants,22,"$120,111,000 ","$3,800,000 ",-,"$700,000 ","$127,889,903 "
15,Chicago White Sox,16,"$113,900,000 ","$5,737,500 ","$1,000,000 ",-,"$125,987,500 "
16,Minnesota Twins,22,"$120,253,834 ",-,-,-,"$121,003,834 "
League Average,,,,,,,"$119,710,221 "
17,Cincinnati Reds,14,"$89,624,000 ","$21,437,500 ","$284,274 ",-,"$118,748,164 "
18,Colorado Rockies,15,"$72,755,000 ","$9,025,000 ","$20,000,000 ",-,"$103,986,666 "
19,Arizona Diamondbacks,14,"$67,461,400 ","$10,357,500 ","$10,333,333 ",-,"$89,077,233 "
20,Kansas City Royals,21,"$83,183,900 ","$2,525,000 ",-,-,"$87,779,400 "
21,Milwaukee Brewers,22,"$80,994,366 ",-,"$5,750,000 ",-,"$87,569,366 "
22,Texas Rangers,14,"$40,298,000 ","$24,430,500 ","$6,250,000 ","$12,333,333 ","$84,868,750 "
23,Detroit Tigers,21,"$76,811,700 ","$586,900 ",-,-,"$80,398,600 "
24,Oakland Athletics,22,"$67,515,000 ","$6,500,000 ",-,-,"$74,615,000 "
25,Seattle Mariners,16,"$62,378,500 ","$2,175,000 ",-,-,"$64,553,500 "
26,Tampa Bay Rays,18,"$52,819,900 ","$4,987,800 ","$2,000,000 ",-,"$60,388,600 "
27,Miami Marlins,14,"$48,175,000 ",-,-,-,"$49,425,000 "
28,Cleveland Indians,18,"$43,169,600 ",-,-,-,"$46,833,300 "
29,Baltimore Orioles,10,"$14,959,200 ","$17,000,000 ","$10,241,935 ",-,"$45,701,135 "
30,Pittsburgh Pirates,12,"$31,355,000 ","$2,050,000 ",-,-,"$35,905,000 "
